,LastName,FirstName,Name,County,Phone Number,Area,Category,Address1,Address2,CityStateZip
71,Jones,Stephen,Stephen M. Jones,Knox & Laurel,(606) 330-2132,"Cir. 27, Div. 03 Family",,Laurel County Judicial Center,"305 S. Main St, 3rd Floor","London, KY 40741"
72,Kaltenbach,Tim,Tim Kaltenbach,McCracken,(270) 575-7292,"Cir. 02, Div. 01",Circuit Judges,McCracken County Courthouse,300 Clarence Gaines St.,"Paducah, KY 42003"
73,Kerstetter,Ellie,Ellie Kerstetter,Jefferson,(502) 595-4326,"Cir. 30, Div. 03 Family",,Jefferson County Judicial Center,700 W. Jefferson St.,"Louisville, KY 40202"
74,Kitchen,W.,W. A. Kitchen,McCracken,(270) 575-7400,"Cir. 02, Div. 02",Circuit Judges,McCracken County Courthouse ,300 Clarence Gaines St.,"Paducah, KY 42003"
75,Knight,R. Leslie,R. Leslie Knight,"Carroll, Grant & Owen",(859) 824-7516,Cir. 15,,Grant County Judicial Center,224 S. Main St.,"Williamstown, KY 41097"
76,Lane,William,William E. Lane,"Bath, Menifee, Montgomery & Rowan",(606) 783-8512,"Cir. 21, Div. 01",Circuit Judges,Circuit Judge,44 W. Main St.,"Mt. Sterling, KY 40353"
77,Langford,Timothy,Timothy A. Langford,"Ballard, Carlisle, Fulton & Hickman",(270) 236-3536,Cir. 01,,Fulton County Courthouse,"114 E. Wellington St., P.O. Box 167","Hickman, KY 42050-0167"
78,Lanphear,David,David A. Lanphear,Warren,(270) 746-7144,"Cir. 08, Div. 02 Family",,Warren County Justice Center,"1001 Center St., Suite 304","Bowling Green, KY 42101"
79,Lape,Kathy,Kathy Lape,Kenton,(859) 292-6538,"Cir. 16, Div. 01",Circuit Judges,Kenton County Justice Center,"230 Madison Ave., Room 600","Covington, Ky. 41011"
80,Lay,Gregory,Gregory A. Lay,Knox & Laurel,(606) 330-2147,"Cir. 27, Div. 01",,Circuit Judge,P.O. Box 1209,"London, KY 40743-1209"
81,Logue,Jean,Jean C. Logue,Clark & Madison,(859) 624-4750,"Cir. 25, Div. 02",,Madison County Courthouse,101 W. Main St.,"Richmond, KY 40475"
82,Marshall,Dwight,Dwight S. Marshall,Floyd,(606) 889-1676,"Cir. 31, Div. 03 Family",,Family Court Judge,"127 S. Lake Drive, Suite 100","Prestonsburg, KY 41653"
83,Masterton,Lucinda,Lucinda Masterton,Fayette,(859) 246-2212,"Cir. 22, Div. 05 Family",,Robert F. Stephens Circuit Courthouse,120 N. Limestone,"Lexington, KY 40507"
84,Mattox,Jeremy,Jeremy M. Mattox,"Bourbon, Scott & Woodford",(502) 570-0947,"Cir. 14, Div. 01",Circuit Judges,Scott County Justice Center,119 N. Hamilton St.,"Georgetown, KY 40324"
85,McClure,Susan,Susan Wesley McClure,Hopkins,(270) 824-7342,"Cir. 04, Div. 02 Family",,Family Court Judge,120 East Center Street,"Madisonville, KY 42431"
86,McDonald,Deana,"Deana ""Dee"" McDonald",Jefferson,(502) 595-4043,"Cir. 30, Div. 08 Family",,Jefferson County Judicial Center,700 W. Jefferson St.,"Louisville, KY 40202"
87,McDonald-Burkman,Judith,Judith McDonald-Burkman,Jefferson,(502) 595-4356,"Cir. 30, Div. 09",Circuit Judges,Jefferson County Judicial Center,700 W. Jefferson St.,"Louisville, KY 40202"
88,McKenzie-Wells,Janie,Janie McKenzie-Wells,"Johnson, Lawrence & Martin",(606) 297-9574,"Cir. 24, Div. 01 Family",,Johnson County Judicial Center,"908 Third St., Suite 231","Paintsville, KY 41240-0899"
89,McKown,Michael,Michael McKown,"Butler, Edmonson, Hancock & Ohio",(270) 298-3433,"Cir. 38, Div. 02 Family",,130 E. Washington St.,P.O. Box 213,"Hartford, KY 42347-0213"
90,Mehling,Christopher,Christopher J. Mehling,Kenton,(859) 292-6533,"Cir. 16, Div. 02 Family",,Kenton County Justice Center,"230 Madison Ave., 5th Floor","Covington, Ky. 41011-1539"
91,Meredith,Monica,Monica K. Meredith,Bullitt,(502) 543-8923,"Cir. 55, Div. 03 Family",,Bullitt County Judicial Center,"250 Frank E. Simon Ave., Suite 202 P.O. Box 983","Shepherdsville, KY 40165-0983"
92,Messer,Libby,Libby G. Messer,Fayette,(859) 246-2703,"Cir. 22, Div. 01 Family",,Robert F. Stephens Circuit Courthouse,120 N. Limestone,"Lexington, KY 40507"
93,Miller,Larry,Larry Miller,"Breathitt, Powell & Wolfe",(606) 668-3107,"Cir. 39, Div. 02 Family",,Wolfe County Judicial Center,"133 Main Street, 2nd Floor, P. O. Box 1329","Campton, KY 41301-1329"
94,Miniard,Vernon,Vernon Miniard Jr.,Russell & Wayne,(606) 340-8159,"Cir. 57, Div.01",,Wayne County Justice Center,"125 Columbia Ave., P.O. Box 727","Monticello, Kentucky 42633"
95,Morgan,Lisa,Lisa H. Morgan,"Bourbon, Scott & Woodford",(502) 867-4808,"Cir. 14, Div. 03 Family",,Scott County Justice Center,"119 North Hamilton, 2nd floor","Georgetown, KY 40324"
96,Moss,Jeff,Jeff Moss,Garrrard & Jessamine,(859) 792-1652,"Cir. 13, Div. 02 Family",,Garrard County Justice Center,54 Stanford St.,"Lancaster, KY 40444"
97,Murphy,Judy,Judy Vance Murphy,Adair & Casey,(270) 384-7122,Cir. 29,,Circuit Judge,"201 Campbellsville Street, Suite 299","Columbia, KY 42728"
98,O'Connell,Annie,Annie O'Connell,Jefferson,(502) 595-4062,"Cir. 30, Div. 02",Circuit Judges,Jefferson County Judicial Center,700 W. Jefferson St.,"Louisville, KY 40202"
99,Ogden,Lauren,Lauren Adams Ogden,Jefferson,(502) 595-4969,"Cir. 30, Div. 04 Family",Circuit Judges,Jefferson County Judicial Center,700 W. Jefferson St.,"Louisville, Kentucky 40202"
100,Peckler,Darren,Darren W Peckler,Boyle & Mercer,(859) 239-7009,"Cir. 50, Div. 01",,Boyle County Courthouse,"321 W. Main, 2nd Floor","Danville, KY 40422"
101,Pence,Mica,Mica Wood Pence,Barren & Metcalfe,(270) 651-9923,"Cir. 43, Div. 02 Family",,Barren County Courthouse,202 Courthouse Square,"Glasgow, KY 42141"
102,Perry,Mitch,Mitch Perry,Jefferson,(502) 595-4919,"Cir. 30, Div. 03",Circuit Judges,Jefferson County Judicial Center,700 W. Jefferson St.,"Louisville, KY 40202-4733"
103,Petrie,,Bruce Petrie,Boyle & Mercer,(859) 239-7090,"Cir. 50, Div. 02 Family",,Boyle County Courthouse,"321 W. Main St., Suite 215","Danville, KY 40422"
104,Phillips,Rebecca,Rebecca K. Phillips,"Carter, Elliott & Morgan",(606) 474-4414,"Cir. 37, Div. 01",,Chief Circuit Judge,100 E. Main St.,"Grayson, Ky. 41143-1302"
105,Preston,Jeffrey,Jeffrey L. Preston,Greenup & Lewis,(606) 473-0263,"Cir. 20, Div. 02 Family",,Greenup County Courthouse,"301 Main St., 3rd Floor","Greenup, KY 41144-1055"
106,Preston,John,John David Preston,"Johnson, Lawrence & Martin",(606) 297-9586,"Cir. 24, Div. 02",,Johnson County Judicial Center,"908 Third St., Suite 217","Paintsville, KY 41240"
107,Privett,Brian,Brian Privett,"Bourbon, Scott & Woodford",(859) 987-3233,"Cir. 14, Div. 02",Circuit Judges,Bourbon County Judicial Center,310 Main St.,"Paris, KY 40361"
108,Rogers,Brandi,Brandi H. Rogers,"Crittenden, Webster & Union",(270) 639-5094,"Cir. 05, Div. 02 Family",,Family Court Judge,P.O. Box 417,"Marion, Kentucky 42064-0417"
109,Schrand,James,James R. Schrand,Boone & Gallatin,(859) 817-5810,"Cir. 54, Div. 03",Circuit Judges,Boone County Justice Center,"6025 Rogers Lane, Suite 447","Burlington, KY 41005-8151"
110,Scorsone,Ernesto,Ernesto Scorsone,Fayette,(859) 246-2531,"Cir. 22, Div. 07",Circuit Judges,Robert F. Stephens Circuit Courthouse,120 North Limestone,"Lexington, KY 40507"
111,Seay,John,"John David ""Jack"" Seay","Hart, LaRue & Nelson",(502) 348-7313,"Cir. 10, Div. 02",Circuit Judges,Nelson County Justice Center,200 Plaza Drive,"Bardstown, KY 40004-2100"
112,Self,Andrew,Andrew C. Self,Christian,(270) 889-6536,"Cir. 03, Div. 01",,Christian County Justice Center,100 Justice Way,"Hopkinsville, KY 42240-2137"
113,Shaw,Mary,Mary M. Shaw,Jefferson,(502) 595-4799,"Cir. 30, Div. 05",Circuit Judges,Jefferson County Judicial Center,700 W. Jefferson St.,"Louisville, KY 40202-4733"
114,Shepherd,Phillip,Phillip Shepherd,Franklin,(502) 564-8383,"Cir. 48, Div. 01",Circuit Judges,Franklin County Courthouse,222 St. Clair St.,"Frankfort, KY 40601"
115,Shepherd,Nora,Nora J. Shepherd,Clark & Madison,(859) 737-7021,"Cir. 25, Div. 03 Family",,119 N. First St.,P.O. Box 1415,"Richmond, KY 40475"
116,Simms,Charles,Charles C. Simms III,"Hart, LaRue & Nelson",(502) 348-7313,"Cir. 10, Div. 01",,Nelson County Justice Center,200 Nelson County Plaza,"Bardstown, KY 40004-2100"
117,Smith,Ann,Ann Bailey Smith,Jefferson,(502) 595-3011,"Cir. 30, Div. 13",Circuit Judges,Jefferson County Judicial Center,700 W. Jefferson St.,"Louisville, KY 40202"
118,Smith,Thomas,Thomas M. Smith,Floyd,(606) 889-1900,"Cir. 31, Div. 02",Circuit Judges,Floyd County Justice Center,127 S. Lake Drive,"Prestonsburg, KY 41653"
119,Spainhour,Elisè,Elisè Givhan Spainhour,Bullitt,(502) 543-2478,"Cir. 55, Div. 02 Family",,Chief Circuit Judge,P.O. Box 730,"Shepherdsville, KY 40165-0730"
120,Spalding,Samuel,Samuel Todd Spalding,"Green, Marion, Taylor & Washington",(270) 692-4813,"Cir. 11, Div. 01",Circuit Judges,Marion County Judicial Center,121 North Spalding Ave.,"Lebanon, Kentucky 40033"
121,Stark,Timothy,Timothy C. Stark,Graves,(270) 247-8726,Cir. 52,,Graves County Courthouse,"100 East Broadway, 2nd Floor","Mayfield, KY 42066"
122,Stein,Kathy,Kathy W. Stein,Fayette,(859) 246-2786,"Cir. 22, Div. 06 Family",,Robert F. Stephens Circuit Courthouse,120 N. Limestone,"Lexington, KY 40507"
123,Stevens,Olu,Olu A. Stevens,Jefferson,(502) 595-4311,"Cir. 30, Div. 06",Circuit Judges,Jefferson County Judicial Center,700 W. Jefferson St.,"Louisville, KY 40202-4724"
124,Summe,Patricia,Patricia M. Summe,Kenton,(859) 292-6531,"Cir. 16, Div. 04",,Kenton County Justice Center,"230 Madison Ave., Suite 601","Covington, KY 41011"
125,Travis,Thomas,Thomas L. Travis,Fayette,(859) 246-2533,"Cir. 22, Div. 08",Circuit Judges,Robert F. Stephens Circuit Courthouse,"120 N. Limestone, Room 553","Lexington, KY 40507"
126,VanMeter,Lucy,Lucy A. VanMeter,Fayette,(859) 246-2218,"Cir. 22, Div. 03",Circuit Judges,Robert F. Stephens Circuit Courthouse,120 N. Limestone,"Lexington, KY 40507"
127,Vanover,Marcus,Marcus L. Vanover,"Lincoln, Pulaski & Rockcastle",(606) 677-4186,"Cir. 28, Div. 03 Family",,Pulaski County Court of Justice,50 Public Square,"Somerset, KY 42501"
128,Varney,Kent,Kent Varney,Pike,(606) 433-7060,"Cir. 35, Div. 03 Family",,Pike County Judicial Center,175 Main St.,"Pikeville, KY 41501"
129,Venters,Jane,Jane Adams Venters,Pulaski,(606) 677-4186,"Cir. 28, Div. 04 Family",Circuit Judges,Pulaski County Court of Justice,"50 Public Square, Suite 2521","Somerset, KY 42501"
130,Vincent,John,John F. Vincent,Boyd,(606) 739-6122,"Cir. 32, Div. 02",Circuit Judges,P.O. Box 417,2800 Louisa St.,"Catlettsburg, KY 41129"
131,Walson,Kimberly,Kimberly Blair Walson,Clark & Madison,(859) 625-0601,"Cir. 25, Div. 04 Family",,Madison County Family Court Building,P.O. Box 1415,"Richmond, KY 40476"
132,Ward,A. Christine,A. Christine Ward,Jefferson,(502) 595-4502,"Cir. 30, Div. 06 Family",,Jefferson County Judicial Center,700 W. Jefferson St.,"Louisville, KY 40202"
133,Ward,Julie,Julie Reinhardt Ward,Campbell,(859) 292-6301,"Cir. 17, Div. 01",Circuit Judges,Campbell County Courthouse,330 York St.,"Newport, KY 41071"
134,Webb,Derwin,Derwin L. Webb,Jefferson,(502) 595-3323,"Cir. 30, Div. 10 Family",,Jefferson County Judicial Center,700 W. Jefferson St.,"Louisville, KY 40202"
135,Wells,Alison,Alison C. Wells,Perry,(606) 435-6004,Cir. 33,Circuit Judges,Perry County Hall of Justice,545 Main St.,"Hazard, KY 41701"
136,Wethington,Jay,Jay A. Wethington,Daviess,(270) 687-7329,"Cir. 06, Div. 01",,Holbrook Judicial Center,100 E. Second St.,"Owensboro, KY 42301"
137,Wiggins,Brian,Brian W. Wiggins,McLean & Muhlenberg,(270) 338-5930,Cir. 45,Circuit Judges,Circuit Judge,"136 S. Main St., P.O. Box 567","Greenville, KY 42345"
138,Willett,Barry,Barry Willett,Jefferson,(502) 595-4054,"Cir. 30, Div. 01",Circuit Judges,Jefferson County Judicial Center,"700 W. Jefferson St., Room 601","Louisville, KY 40202-4730"
139,Williams,David,David L. Williams,"Clinton, Cumberland & Monroe",(270) 864-5192,Cir. 40,,Circuit Judge,"112 Courthouse Square, P.O. Box 660","Burkesville, KY 42717"
140,Williams,C.,C. Rene' Williams,"Crittenden, Webster & Union",(270) 639-5506,"Cir. 05, Div. 01",,Webster County Courthouse,"35 US Highway 41A-S, P.O. Box 126","Dixon, KY 42409"
141,Williams,Squire,Squire N. Williams III,Franklin,(502) 564-2278,"Cir. 48, Div. 03 Family",,Franklin County Courthouse,222 St. Clair St.,"Frankfort, KY 40601"
142,Wilson,Karen,Karen L. Wilson,Henderson,(270) 827-1295,"Cir. 51, Div. 01",Circuit Judges,Circuit Judge,5 N. Main St.,"Henderson, KY 42420"
143,Wilson,Steve,Steve Alan Wilson,Warren,(270) 746-7412,"Cir. 08, Div. 01",Circuit Judges,Warren County Justice Center,"1001 Center St., Suite 404","Bowling Green, KY 42101-2193"
