,LastName,FirstName,Name,County,Phone Number,Area,Category,Address1,Address2,CityStateZip
32,Grothaus,Douglas,Douglas J. Grothaus,Kenton,(859) 292-6576,"Dist. 16, Div. 03",District Judges,Kenton County Judicial Center,230 Madison Ave.,"Covington, KY 41011"
33,Hall,Eric,Eric D. Hall,Floyd,(606) 889-1661,"Dist. 31, Div. 02",,Vice-Chief Regional District Judge,P.O. Box 335,"Allen, KY 41601"
34,Hall,Mike,Mike Hall Jr.,"Green, Marion, Taylor & Washington",(270) 465-8424,"Dist. 11, Div. 02",District Judges,Taylor County Judicial Center,"300 E. Main St., P.O. Box 4099","Campbellsville, KY 42719-4099"
35,Hammons,Wendell,"Wendell Lewis ""Skip"" Hammons Jr.",Knox & Laurel,(606) 546-6523,"Dist. 27, Div. 01",District Judges,Laurel County Judicial Center,"305 S. Main St., P.O. Box 1798","London, KY 40743-1798"
36,Haner,Eric,Eric J. Haner,Jefferson,(502) 595-3314,"Dist. 30, Div. 12",District Judges,Louis D. Brandeis Hall Of Justice,600 W. Jefferson St.,"Louisville, KY 40202"
37,Hardin,Charles,Charles W. Hardin,Clark & Madison,(859) 737-7694,"Dist. 25, Div. 01",,Madison County Hall of Justice,P.O. Box 277,"Richmond, KY 40475"
38,Harrison,Martha,Martha Blair Harrison,Allen & Simpson,(270) 237-4667,Dist. 49,,Allen County Judicial Center,200 W. Main St.,"Scottsville, KY 42164"
39,Haynie,Anne,Anne Haynie,Jefferson,(502) 595-4611,"Dist. 30, Div. 15",District Judges,Louis D. Brandeis Hall Of Justice,600 W. Jefferson St.,"Louisville, KY 40202"
40,Hays,Sarah,Sarah R. Hays,"Bourbon, Scott & Woodford",(859) 879-9871,"Dist. 14, Div. 02",District Judges,Woodford County Courthouse Annex,130 Court St.,"Versailles, KY 40383"
41,Heady,Daniel,Daniel M. Heady,"Crittenden, Union & Webster",(270) 389-0644,Dist. 05,,Webster County Judicial Center,"35 U.S. Hwy. 41-A S., P.O. Box 289","Dixon, KY 42409"
42,Hickerson,Tanisha,Tanisha A. Hickerson,Jefferson,(502) 595-4999,"Dist. 30, Div. 09",District Judges,Louis D. Brandeis Hall Of Justice,600 W. Jefferson St.,"Louisville, KY 40202"
43,Hines,Joseph,"Joseph Brett ""J.B."" Hines","Butler, Edmonson, Hancock & Ohio",TBD (Phone) -N,"Dist. 38, Div. 01",District Judges,Edmonson County Courthouse Annex,110 Cross Main St. P.O. Box 739,"Brownsville, KY 42210"
44,Hollowell,Chris,Chris Hollowell,McCracken,(270) 575-7261,"Dist. 02, Div. 02",District Judges,McCracken County Courthouse,301 S. Sixth St.,"Paducah, KY 42003-1700"
45,Hutchens,Randall,Randall A. Hutchens,Calloway,(270) 753-0059,Dist. 42,,Calloway County Judicial Building,312 N. Fourth St.,"Murray, KY 42071-2002"
46,Jones,Todd,Todd S. Jones,McCracken,(270) 575-7261,"Dist. 02, Div. 01",District Judges,McCracken County Courthouse,301 S. Sixth St.,"Paducah, KY 42003"
47,Kaelin,Julie,Julie Kaelin,Jefferson,(502) 595-3013,"Dist. 30, Div. 04",District Judges,Louis D. Brandeis Hall of Justice,600 W. Jefferson St.,"Louisville, KY 40202"
48,Karem,Annette,Annette Karem,Jefferson,(502) 595-4994,"Dist. 30, Div. 01",District Judges,Louis D. Brandeis Hall Of Justice,600 W. Jefferson St.,"Louisville, KY 40202-2740"
49,Kelley,John,"John S. ""Jack"" Kelley V",Nelson,(502) 348-2012,Dist. 57,,Nelson Co Justice Center,200 County Plaza Dr.,"Bardstown, KY 40004"
50,King,Katie,Katie King,Jefferson,(502) 595-4696,"Dist. 30, Div. 16",District Judges,Louis D. Brandeis Hall Of Justice,600 W. Jefferson St.,"Louisville, KY 40202"
51,Kuster,Charles,Charles W. Kuster Jr.,"Harrison, Nicholas, Pendleton & Robertson",(859) 234-1918,Dist. 18,District Judges,Harrison County Justice Center,"115 Court St., Suite 2","Cynthiana, KY 41031-1502"
52,Langford,Lisa,Lisa L. Langford,Jefferson,(502) 595-4989,"Dist. 30, Div. 06",District Judges,Louis D. Brandeis Hall Of Justice,600 W. Jefferson St.,"Louisville, KY 40202"
53,Latham,Scarlett,Scarlett B. Latham,"Clinton, Russell & Wayne",(606) 387-0471,"Dist. 40 , Div. 01",District Judges,District Judge,212 S. Washington St.,"Albany, KY 42602"
54,Lawless,Jeffrey,Jeffrey Scott Lawless,Pulaski & Rockcastle,(606) 677-4112,"Dist. 28, Div. 01",,Chief District Judge,"Pulaski County Courthouse 100 N. Main St., P.O. Box 682","Somerset, KY 42501"
55,Lawson,James,James M. Lawson,"Clinton, Russell & Wayne",(606) 387-8682,"Dist. 40, Div. 02",,Chief District Judge,215 E. Cumberland St.,"Albany, KY 42602"
56,Leach,William,"William ""Bo"" Leach","Estill, Lee & Owsley",(606) 723-2000,Dist. 23,District Judges,District Judge,"130 Main St., 2nd Floor","Irvine, KY 40336"
57,Leibson,Jennifer,Jennifer H. Leibson,Jefferson,(502) 595-4610,"Dist. 30, Div. 05",District Judges,Louis D. Brandeis Hall of Justice,600 W. Jefferson St.,"Louisville, KY 40202"
58,Lisenbee,Scott,Scott Lisenbee,Harlan,(606) 573-7209,Dist. 26,District Judges,Harlan County Justice Center,"129 S. 1st St., P.O. Box 838","Harlan, KY 40831"
59,Loy,Michael,Michael Loy,Adair & Casey,(270) 384-0154,Dist. 29,,Vice-Chief Regional District Judge,"201 Campbellsville Street, Suite 149","Columbia, KY 42728"
60,Maier,Cole,Cole Adams Maier,Clark & Madison,(859) 737-7694,"Dist. 25, Div. 02",District Judges,Governor James Clark Judicial Center,"17 Cleveland Ave., P.O. Box 40392","Winchester, KY 40392-0223"
61,Mangeot,Kathy,Kathy R. Mangeot,Franklin,(502) 564-7073,"Dist. 48, Div. 01",,Franklin County Courthouse,222 St. Clair St.,"Frankfort, KY 40601"
62,Marcum,Jimmy,Jimmy R. Marcum,Floyd,(606) 889-1816,"Dist. 31, Div. 01",,Floyd County Justice Center,127 S. Lake Drive,"Prestonsburg, KY 41653"
63,Massamore,David,David G. Massamore,Hopkins,(270) 824-7513,"Dist. 04, Div. 01",District Judges,Hopkins County Justice Center,"120 E. Center St., Box 3","Madisonville, KY 42431"
64,May,Tommy,Tommy R. May,Pike,(606) 433-7561,"Dist. 35, Div. 02",District Judges,Pike County Judicial Center,175 Main St.,"Pikeville, KY 41501"
65,McCarty,John,John M. McCarty,"Butler, Edmonson, Hancock & Ohio",(270) 298-3223,"Dist. 38, Div. 02",,Chief District Judge,130 E. Washington St.,"Hartford, KY 42347"
66,McCloud,Brian,Brian C. McCloud,Greenup & Lewis,(606) 473-6339,Dist. 20,,Greenup County Courthouse Annex,101 Harrison St.,"Greenup, KY 41144-1084"
67,Miller,Misty,Misty L. Miller,Daviess,(270) 687-7216,"Dist. 06, Div. 01",District Judges,District Judge,100 E. Second St.,"Owensboro, KY 42303"
68,Moore,Jessica,Jessica A. Moore,Jefferson,(502) 595-4992,"Dist. 30, Div. 11",District Judges,Louis D. Brandeis Hall Of Justice,600 W. Jefferson St.,"Louisville, KY 40202"
69,Mullins,Kevin,Kevin R. Mullins,Letcher,(606) 633-4222,Dist. 47,District Judges,District Judge,"156 Main St., Suite 101 C","Whitesburg, KY 41858"
70,Murphy,Melissa,Melissa Moore Murphy,Fayette,(859) 246-2247,"Dist. 22, Div. 04",District Judges,Robert F. Stephens District Courthouse,"150 N. Limestone, Room 531","Lexington, KY 40507"
71,Myers,Louis,Louis K. Myers,Ballard & Carlisle,(270) 335-5138,Dist. 59,,Chief District Judge,P.O. Box 485,"Wickliffe, KY 42087"
72,Neal,Earl-Ray,Earl-Ray Neal,Clark & Madison,(859) 737-7040,"Dist. 25, Div. 03",,Madison County Hall Of Justice,P.O. Box 277,"Richmond, KY 40476-0277"
73,Newman,Leslie,Leslie M. Newman,Henderson,(270) 826-4755,"Dist. 51, Div. 02",District Judges,Henderson County Judicial Center,"5 North Main St., P.O. Box 675","Henderson, KY 42419-0675"
74,Nicholson,Sara,Sara Michael Nicholson,Jefferson,(502) 595-4960,"Dist. 30, Div. 10",District Judges,Louis D. Brandeis Hall Of Justice,600 W. Jefferson St.,"Louisville, KY 40202"
75,Olds,Chris,Chris Olds,Franklin,(502) 564-7073,"Dist. 48, Div. 02",District Judges,Franklin County Courthouse,222 St. Clair St.,"Frankfort, KY 40601"
76,Oliver,Bill,Bill Oliver,"Garrard, Jessamine & Lincoln",(859) 885-5615,"Dist. 13, Div. 01",,Jessamine County Courthouse Annex,"107 N. Main St., 3rd Floor, Room 305","Nicholasville, KY 40356"
77,Payne,David,David C. Payne,Daviess,(270) 687-7214,"Dist. 06, Div. 02",District Judges,Holbrook Judicial Center,100 E. Second St.,"Owensboro, KY 42303"
78,Pendleton,J.,J. Gabriel Pendleton,Barren & Metcalfe,(270) 651-9839,Dist. 43,District Judges,Barren County Courthouse,204 Courthouse Square P.O. Box 1359,"Glasgow, KY 42142"
79,Phelps,Mary,Mary Jane Phelps,"Bourbon, Scott & Woodford",(859) 879-9871,"Dist. 14, Div. 01",,Chief Regional District Judge,130 Court St.,"Versailles, KY 40383"
80,Porter,Jennifer,Jennifer E. Porter,Bullitt,(502) 543-2243,"Dist. 55, Div. 02",District Judges,District Judge,P.O. Box 586,"Shepherdsville, KY 40165-0586"
81,Potter,Brent,Brent J. Potter,Warren,(270) 746-7060,"Dist. 08, Div. 02",District Judges,Warren County Justice Center ,"1001 Center St., Suite 202","Bowling Green, KY 42101-2191"
82,Potter,Sam,Sam Potter Jr.,Warren,(270) 746-7028,"Dist. 08, Div. 01",District Judges,Warren County Justice Center,"1001 Center St., Suite 201","Bowling Green, KY 42101-2191"
83,Prater,Dennis,Dennis B. Prater,Knott & Magoffin,(606) 785-3078,Dist. 36,,Magoffin County Judicial Center,"100 E. Maple St., P.O. Box 1445","Salyersville, KY 41465"
84,Prewitt,Cathy,Cathy E. Prewitt,McCreary & Whitley,(606) 528-4430,"Dist. 34, Div. 01",,Chief District Judge,"805 S. Main St., P.O. Box 724","Corbin, KY 40702"
85,Razor,Kim,Kim Razor,"Bracken, Fleming & Mason",(606) 845-1037,Dist. 19,District Judges,Fleming County Judicial Center,101 N. Main Cross St.,"Flemingsburg, KY 41041"
86,Reams,Gerald,Gerald B. Reams Jr.,Boyd,(606) 739-8107,"Dist. 32, Div. 02",District Judges,Courthouse Annex,2800 Louisa St.,"Catlettsburg, KY 41129"
87,Redd,James,James R. Redd III,"Caldwell, Livingston, Lyon & Trigg",(270) 365-6656,"Dist. 56, Div. 01",District Judges,Courthouse ,105 W. Court Square,"Princeton, KY 42445"
88,Reed,C.,C. Derek Reed,Hart & LaRue,(270) 358-9501,Dist. 10,,Chief District Judge,"LaRue County Courthouse Annex 209 W. High St., Suite 13","Hodgenville, KY 42748"
89,Reese,Scott,Scott T. Reese,Boyd,(606) 739-8107,"Dist. 32, Div. 01",District Judges,Boyd County Judicial Center,2805 Louisa Street,"Catlettsburg, KY 41129"
90,Roberts,Allen,Allen B. Roberts,"Clay, Jackson & Leslie",(606) 598-6170,"Dist. 41, Div. 01",District Judges,Clay County Justice Center,"316 Main Street, Suite 228","Manchester, Kentucky 40962"
91,Roberts,William,William W. Roberts,"Bath, Menifee, Montgomery & Rowan",(606) 783-8515,"Dist. 21, Div. 01",District Judges,Rowan County Judicial Center,700 W. Main St.,"Morehead, KY 40351"
92,Ruttle,Ann,Ann Ruttle,Kenton,(859) 292-6576,"Dist. 16, Div. 01",District Judges,Kenton County Justice Center,"230 Madison Ave., 4th Floor","Covington, KY 41011"
93,Salyers,Gary,Gary Salyers,"Breathitt, Powell & Wolfe",(606) 666-5322,Dist. 39,District Judges,Breathitt County Justice Center,"1131 Main St., P.O. Box 826","Jackson, KY 41339-0826"
94,Shumate,Kimberly,Kimberly W. Shumate,Hardin,(270) 766-5004,"Dist. 09, Div. 02",,Chief District Judge,Hardin County Justice Center 120 E. Dixie Ave.,"Elizabethtown, KY 42701-1974"
95,Simcoe,John,John D. Simcoe,Hardin,(270) 766-5004,"Dist. 09, Div. 01",District Judges,Hardin County Justice Center,120 E. Dixie Ave.,"Elizabethtown, KY 42701-1469"
96,Slone,Kathryn,Kathryn G. Slone,Pulaski & Rockcastle,(606) 677-4112,"Dist. 28, Div. 02",District Judges,District Judge,P.O. Box 682,"Somerset, KY 42502"
97,Smith,Jeffrey,Jeffrey S. Smith,Boone & Gallatin,(859) 817-5830,"Dist. 54, Div. 01",,District Judge,"6025 Rogers Lane, Room 276","Burlington, KY 41005"
98,Tackett,John,John Lindsay Tackett,Fayette,(859) 246-2247,"Dist. 22, Div. 05",District Judges,Robert F. Stephens District Courthouse,"150 N. Limestone, Room 531","Lexington, KY 40507"
99,Telle,Jack,Jack M. Telle,Marshall,(270) 527-3390,Dist. 58,,Chief District Judge,"80 Judicial Drive, Unit 111","Benton, KY 42025"
100,Thomas,Karen,Karen A. Thomas,Campbell,(859) 292-6322,"Dist. 17, Div. 02",,Chief Regional District Judge,330 York St.,"Newport, KY 41071"
101,Thomas,Marcia,Marcia L. Thomas,Boone & Gallatin,(859) 817-5830,"Dist. 54, Div. 02",District Judges,Boone County Justice Center,"6025 Rogers Lane, Room 276","Burlington, KY 41005"
102,Thurston,Lindsay,Lindsay Hughes Thurston,Fayette,(859) 246-2247,"Dist. 22, Div. 03",District Judges,Robert F. Stephens District Courthouse,"150 N. Limestone, Room 531","Lexington, KY 40507"
103,Wheeler,Diana,Diana E. Wheeler,"Oldham, Henry, Trimble",(502) 222-7447,"Dist. 12, Div. 01",District Judges,District Judge ,100 W. Main St.,"La Grange, KY 40031"
104,White,Fred,Fred F. White,McCreary & Whitley,(606) 549-5669,"Dist. 34, Div. 02",District Judges,Whitley County Courthouse,P.O. Box 329,"Williamsburg, KY 40769-0329"
105,White,Natalie,Natalie White,"Caldwell, Livingston, Lyon & Trigg",(270) 365-6656,"Dist. 56, Div. 02",District Judges,Lyon County Judicial Center,"500 W. Dale Ave., P.O. Box 565","Eddyville, KY 42038-0565"
106,Whitesell,Hunter,Hunter B. Whitesell II,Fulton & Hickman,(270) 236-2839,Dist. 01,,Fulton County Courthouse,P.O. Box 198,"Hickman, KY 42050"
107,Whitledge,William,William R. Whitledge,Hopkins,(270) 824-7512,"Dist. 04, Div. 02",District Judges,Hopkins County Courthouse,120 E Center St.,"Madisonville, KY 42431"
108,Wilcox,Jennifer,Jennifer Bryant Wilcox,Jefferson,(502) 595-4997,"Dist. 30, Div. 07",District Judges,Louis D. Brandeis Hall Of Justice,600 W. Jefferson St.,"Louisville, KY 40202"
109,Wilhoit,H.,H. Rupert Wilhoit III,"Carter, Elliott & Morgan",(606) 474-5511,Dist. 37,District Judges,Carter County Justice Center,100 E. Main St.,"Grayson, KY 41143-1302"
110,Williams,Erica,Erica Lee Williams,Jefferson,(502) 595-4162,"Dist. 30, Div. 17",District Judges,Louis D. Brandeis Hall Of Justice,600 W. Jefferson St.,"Louisville, KY 40202"
111,Williams,Kenneth,Kenneth R. Williams Jr.,Logan & Todd,(270) 726-8080,Dist. 07,District Judges,District Judge,"329 W. 4th St., P.O. Box 488","Russellville, KY 42276"
112,Wolf,Amber,Amber B. Wolf,Jefferson,(502) 595-4957,"Dist. 30, Div. 02",District Judges,Louis D. Brandeis Hall Of Justice,600 W. Jefferson St.,"Louisville, KY 40202"
113,Wright,Robert,Robert F. Wright,Pike,(606) 433-7562,"Dist. 35, Div. 01",District Judges,Pike County Judicial Center,175 Main St.,"Pikeville, KY 41501"
114,Yoakum,Robert,Robert T. Yoakum,Bell,(606) 337-1149,Dist. 44,District Judges,Farmer Helton Judicial Center,"101 Park Avenue, P.O. Box 420","Pineville, KY 40977"
