,LastName,FirstName,Name,County,Phone Number,Area,Category,Address1,Address2,CityStateZip
28,Fain,H.,H. Douglas Fain,Jessamine,(859) 885-4531,Cir. 13,Circuit Clerks,Jessamine County Courthouse Annex ,107 N. Main St.,"Nicholasville, KY 40356"
29,Faudere,Claudette,Claudette Faudere,Bath,(606) 674-2186,Cir. 21,Circuit Clerks,Bath County Courthouse Annex ,"19 E. Main St., P.O. Box 558","Owingsville, KY 40360-0558"
30,Feldman,Amy,Amy Feldman,Franklin,(502) 564-7013,Cir. 48,Circuit Clerks,Franklin County Circuit Court Clerk,222 St. Clair St.,"Frankfort, KY 40601"
31,Fernandez,David,David M. Fernandez,Madison,(859) 624-4722,Cir. 25,Circuit Clerks,Madison County Hall of Justice,351 W. Main St.,"Richmond, KY 40475"
32,Fields,Krissie,Krissie Coe Fields,Barren,(270) 651-2561,Cir. 43,Circuit Clerks,Barren County Courthouse,"100 Courthouse Square, P.O. Box 1359","Glasgow, KY 42142-1359"
33,Fiss,Beth,Beth Anne Fiss,Simpson,(270) 586-4241,Cir. 49,Circuit Clerks,Simpson County Justice Center,101 N. Court St.,"Franklin, KY 42134"
34,Flanary,Wendy,Wendy Flanary,Harlan,(606) 573-2680,Cir. 26,Circuit Clerks,Harlan County Justice Center,"129 S. 1st St., P.O. Box 190","Harlan, KY 40831-0190"
35,Flynn,J.,J. S. Flynn,Pulaski,(606) 677-4029,Cir. 28,Circuit Clerks,Pulaski County Court of Justice,50 Public Square,"Somerset, KY 42501"
36,Forsee,Margaret,Margaret Forsee,Owen,(502) 484-2232,Cir. 15,Circuit Clerks,Owen County Judicial Center,"401 S. Main St., P.O. Box 473","Owenton, KY 40359-0473"
37,Foster,Tina,Tina M. Foster,Scott,(502) 863-0474,Cir. 14,Circuit Clerks,Scott County Justice Center,119 N. Hamilton St.,"Georgetown, KY 40324"
38,Furnish,Teresa,Teresa W. Furnish,Harrison,(859) 234-1914,Cir. 18,Circuit Clerks,Harrison County Justice Center,"115 Court St., Suite 1","Cynthiana, KY 41031"
39,Garrett,Tommy,Tommy A. Garrett,Metcalfe,(270) 432-3663,Cir. 43,Circuit Clerks,Metcalfe County Courthouse,"201 East Stockton St., P.O. Box 27","Edmonton, KY 42129-0027"
40,Gauze,Denise,Denise M. Gauze,Martin,(606) 298-3508,Cir. 24,Circuit Clerks,Martin County Courthouse,"14 Court St., P.O. Box 430","Inez, KY 41224-0430"
41,Graney,Wendy,Wendy B. Graney,Shelby,(502) 633-1287,Cir. 53,Circuit Clerks,Shelby County Judicial Center,401 Main St.,"Shelbyville, KY 40065"
42,Griffith,Tiffany,Tiffany Fralick Griffith,Marshall,(270) 527-3883,42,Circuit Clerks,Marshall County Judicial Building,"80 Judicial Drive, Unit 101","Benton, KY 42025"
43,Guill,Melissa,Melissa Guill,Crittenden,(270) 965-4200,Cir. 05,Circuit Clerks,Crittenden County Courthouse,"107 S. Main St., Suite 202","Marion, KY 42064"
44,Hagan,Kim,Kim Hagan,Monroe,(270) 487-5480,Cir. 40,Circuit Clerks,Monroe County Justice Center,300 N. Main St.,"Tompkinsville, KY 42167"
45,Hall,Douglas,Douglas Ray Hall,Floyd,(606) 889-1672,Cir. 31,Circuit Clerks,Floyd County Justice Center,127 S. Lake Drive,"Prestonsburg, KY 41653"
46,Harper,Donald,Donald T. Harper,Menifee,(606) 768-2461,Cir. 21,Circuit Clerks,Menifee County Courthouse,"12 Main St., P.O. Box 172","Frenchburg, KY 40322-0172"
47,Helton,Greg,Greg Helton,Knox,(606) 546-3075,Cir. 27,Circuit Clerks,Knox County Courthouse Annex,"401 Court Square, P.O. Box 760","Barbourville, KY 40906-0760"
48,Hensley,Dana,Dana Hensley,Garrard,(859) 792-2961,Cir. 13,Circuit Clerks,Garrard County Justice Center,54 Stanford St.,"Lancaster, KY 40444"
49,Hodges,Tanya,Tanya R. Hodges,Edmonson,(270) 597-2584,Cir. 38,Circuit Clerks,Edmonson County Courthouse,"110 Cross Main St., P.O. Box 739","Brownsville, KY 42210-0739"
50,Hooks,Danny,Danny Hooks,Caldwell,(270) 365-6884,Cir. 56,Circuit Clerks,Caldwell County Courthouse Annex,105 W. Court Square,"Princeton, KY 42445"
51,Hoskins,Kevin,Kevin Hoskins,Carlisle,(270) 628-5425,Cir. 01,Circuit Clerks,Carlisle County Courthouse ,"985 U.S. Highway 62, P.O. Box 337","Bardwell, KY 42023-0337"
52,Huston,Trina,Trina B. Huston,Bourbon,(859) 987-2624,Cir. 14,Circuit Clerks,Bourbon County Judicial Center,"310 Main St., P.O. Box 740","Paris, KY 40362-0740"
53,Ison,Wm. Jason,Wm. Jason Ison,Elliott,(606) 738-5238,Cir. 37,Circuit Clerks,Elliott County Courthouse Annex,"100 Court and Main Streets, P.O. Box 788","Sandy Hook, KY 41171-0788"
54,Jack,Taunya,Taunya Nolan Jack,Campbell,(859) 292-6305,Cir. 17,Circuit Clerks,Campbell County Courthouse,330 York St.,"Newport, KY 41071"
55,Jump,Wray,Wray J. Jump,Grant,(859) 824-4467,Cir. 15,Circuit Clerks,Grant County Judicial Center,224 S. Main St.,"Williamstown, KY 41097"
56,Kaelin,Steve,Steve Kaelin,Oldham,(502) 222-9837,Cir. 12,Circuit Clerks,Oldham County Courthouse,100 W. Main St.,"La Grange, KY 40031"
57,Keith,Paulita,Paulita A. Keith,Bullitt,(502) 543-7104,Cir. 55,Circuit Clerks,Bullitt County Judicial Center,"250 Frank E. Simon Ave., P.O. Box 746","Shepherdsville, KY 40165-0746"
58,Kelley,Tracey,Tracey L. Kelley,Boyd,(606) 739-4131,Cir. 32,Circuit Clerks,Boyd County Judicial Center,P.O. Box 688,"Catlettsburg, KY 41129"
59,Kerr,Tony,Tony D. Kerr,Russell,(270) 343-2185,Cir. 57,Circuit Clerks,Russell County Judicial Center,"202 Monument Square, Suite 106","Jamestown, KY 42629"
60,King,Othel,Othel King,McCreary,(606) 376-5041,Cir. 34,Circuit Clerks,McCreary County Courthouse,"1 N. Main St., P.O. Box 40","Whitley City, KY 42653-0040"
61,King,Brian,Brian King,Powell,(606) 663-4141,Cir. 39,Circuit Clerks,Powell County Courthouse,"525 Washington St., P.O. Box 578","Stanton, KY 40380-0578"
62,King-Logsdon,Stephanie,Stephanie J. King-Logsdon,McLean,(270) 273-3966,Cir. 45,Circuit Clerks,McLean County Courthouse,"210 E. Main St., P.O. Box 145","Calhoun, KY 42327-0145"
63,Kirtley,Shannon,Shannon Kirtley,Ohio,(270) 298-3671,Cir. 38,Circuit Clerks,Ohio County Community Center,"130 E. Washington, St., P.O. Box 67","Hartford, KY 42347-0067"
64,Knoth,Debbie,Debbie Harp Knoth,Livingston,(270) 928-2172,Cir. 56,Circuit Clerks,Livingston County Justice Center,"122 W. Adair St., P.O. Box 160","Smithland, KY 42081-0160"
65,Lay,Patricia,Patricia Lay,Wayne,(606) 348-5841,Cir. 57,Circuit Clerks,Wayne County Justice Center,"100 W. Columbia Ave., Suite 101","Monticello, KY 42633"
66,Laycock,Camron,Camron Laycock,Muhlenberg,(270) 338-4850,Cir. 45,Circuit Clerks,Muhlenberg County Judicial Building,"136 S. Main St., P.O. Box 776","Greenville, KY 42345-0776"
67,Lindsey,Ellen,Ellen F. Lindsey,Meade,(270) 422-4961,Cir. 46,Circuit Clerks,Meade County Courthouse,516 Hillcrest Drive,"Brandenburg, KY 40108-1241"
68,Loy,Dennis,Dennis Loy,Adair,(270) 384-2626,Cir. 29,Circuit Clerks,Adair County Judicial Center,"201 Campbellsville St., Suite 101","Columbia, KY 42728"
69,Lyle,Gina,Gina Lyle,Henry,(502) 845-2868,Cir. 12,Circuit Clerks,Henry County Courthouse,"30 N. Main St., P.O. Box 359","New Castle, KY 40050-0359"
70,Martin,David,David S. Martin,Boone,(859) 448-2900,Cir. 54,Circuit Clerks,Boone County Justice Center,6025 Rogers Lane,"Burlington, KY 41005"
71,Mathews,Jaime,Jaime Mathews,Fulton,(270) 236-3944,Cir. 01,Circuit Clerks,Fulton County Courthouse,"114 E. Wellington St., P.O. Box 198","Hickman, KY 42050-0198"
72,May,Kim,Kim T. May,Marion,(270) 692-2681,Cir. 11,Circuit Clerks,Marion County Judicial Center,121 N. Spalding Ave.,"Lebanon, KY 40033"
73,Mays,A.,A. Michael Mays,Owsley,(606) 593-6226,Cir. 23,Circuit Clerks,Owsley County Courthouse,"20 Main Street, P.O. Box 130","Booneville, KY 41314-0130"
74,McKee,Herbert,Herbert McKee Jr.,Henderson,(270) 826-2405,Cir. 51,Circuit Clerks,Henderson County Judicial Center,5 N. Main St. P.O. Box 675,"Henderson, KY 42419"
75,Middleton,John,John C. Middleton,Kenton,(859) 292-6521,Cir. 16,Circuit Clerks,Kenton County Justice Center,"230 Madison Ave., 3rd Floor","Covington, KY 41011"
76,Miller,Martha,Martha M. Miller,Clark,(859) 737-7264,Cir. 25,Circuit Clerks,Governor James Clark Judicial Center,"17 Cleveland Ave., P.O. Box 687","Winchester, KY 40392"
77,Miller,JoAnne,JoAnne Mudd Miller,Washington,(859) 336-3761,Cir. 11,Circuit Clerks,Washington County Judicial Center,"100 East Main Street, Suite 100","Springfield, KY 40069"
78,Morgan-Pace,Carmolitta,Carmolitta Morgan-Pace,Leslie,(606) 672-2503,Cir. 41,Circuit Clerks,Leslie County Courthouse,"22010 Main St., P.O. Box 1750","Hyden, KY 41749-1750"
79,Nicholson,David,David L. Nicholson,Jefferson,(502) 595-3055,Cir. 30,Circuit Clerks,Louis D. Brandeis Hall of Justice,600 W. Jefferson St.,"Louisville, KY 40202"
80,Orange,Mary,Mary J. Orange,Logan,(270) 726-2424,Cir. 07,Circuit Clerks,Logan County Court of Justice,"329 W. 4th St., P.O. Box 420","Russellville, KY 42276-0420"
81,Overstreet,Craig,Craig L. Overstreet,Casey,(606) 787-6510,Cir. 29,Circuit Clerks,Casey County Judicial Center,"231 Courthouse Square, P.O. Box 147","Liberty, KY 42539-0147"
82,Parker,Paige,Paige Parker,Christian,(270) 889-6539,Cir. 03,Circuit Clerks,Christian County Justice Center,100 Justice Way,"Hopkinsville, KY 42240"
83,Parsley,Jodi,Jodi L. Parsley,Lawrence,(606) 638-4215,Cir. 24,Circuit Clerks,Lawrence County Judicial Center,29 Riverbend Road,"Louisa, KY 41230"
84,Patterson,Charles,Charles Patterson,Perry,(606) 435-6000,Cir. 33,Circuit Clerks,Perry County Hall of Justice,"545 Main St., P.O. Box 7433","Hazard, KY 41702-7433"
85,Perry,Pam,Pam W. Perry,Trigg,(270) 522-6270,Cir. 56,Circuit Clerks,Trigg County Justice Center,"41 Main St., P.O. Box 673","Cadiz, KY 42211-0673"
86,Phillips,Leslie,Leslie Phillips,Clay,(606) 598-3663,Cir. 41,Circuit Clerks,Clay County Justice Center,"316 Main St., Suite 108","Manchester, KY 40962"
87,Phillips,Tyler,Tyler Phillips,Lee,(606) 464-8400,Cir. 23,Circuit Clerks,Lee County Courthouse,256 Main St. P.O. Box E,"Beattyville, KY 41311"
88,Rechtin,Heather,Heather A. Rechtin,Bracken,(606) 735-3328,Cir. 19,Circuit Clerks,Bracken County Judicial Center,"132 W. Miami St., P.O. Box 205","Brooksville, KY 41004-0205"
89,Redden,Michael,Michael D. Redden,Pendleton,(859) 654-3347,Cir. 18,Circuit Clerks,Pendleton County Judicial Center,"120 Ridgeway Ave., P.O. Box 69","Falmouth, KY 41040-0069"
90,Reed,Allen,Allen Kent Reed,Greenup,(606) 473-9869,Cir. 20,Circuit Clerks,Greenup County Courthouse Annex,"101 Harrison St., P.O. Box 676","Greenup, KY 41144-0676"
91,Reed,Teresa,Teresa Reed,Lincoln,(606) 365-2535,Cir. 28,Circuit Clerks,Lincoln County Judicial Center,101 E. Main St.,"Stanford, KY 40484"
92,Rhodes,Cindy,Cindy Rhodes,Breckinridge,(270) 756-2239,Cir. 46,Circuit Clerks,Breckinridge County Justice Center,"111 W. 2nd St., P.O. Box 111","Hardinsburg, KY 40143-0111"
93,Riggs,Vincent,Vincent Riggs,Fayette,(859) 246-2141,Cir. 22,Circuit Clerks,Robert F. Stephens District Courthouse,"150 N. Limestone, Room D118","Lexington, KY 40507"
94,Robinson,Pamela,Pamela J. Robinson,Anderson,(502) 839-3508,Cir. 53,Circuit Clerks,Anderson County Courthouse,151 S. Main St.,"Lawrenceburg, KY 40342"
95,Robinson,Becky,Becky M. Robinson,Spencer,(502) 477-3220,Cir. 53,Circuit Clerks,Spencer County Courthouse Annex,"27 E. Main St., P.O. Box 282","Taylorsville, KY 40071-0282"
96,Rountree,Kayla,Kayla Rountree,Hart,(270) 524-5181,Cir. 10,Circuit Clerks,Hart County Judicial Center,"117 E. South St., P.O. Box 248","Munfordville, KY 42765-0248"
97,Saunders,Amy,Amy M. Saunders,Fleming,(606) 845-7011,,Circuit Clerks,Fleming County Judicial Center,101 North Main Cross,"Flemingsburg, KY 41041"
98,Schott,Roger,Roger L. Schott,Laurel,(606) 330-2079,Cir. 27,Circuit Clerks,Laurel County Judicial Center,"305 S. Main St., P.O. Box 1798","London, KY 40743-1798"
99,Shewmaker,Cortney,Cortney Shewmaker,Boyle,(859) 239-7442,Cir. 50,Circuit Clerks,Boyle County Courthouse,321 W. Main St.,"Danville, KY 40422"
100,Skaggs,Susie,Susie Skaggs,Taylor,(270) 465-6686,Cir. 11,Circuit Clerks,Taylor County Judicial Center,300 E. Main St.,"Campbellsville, KY 42718"
101,Slusher,Colby,Colby Slusher,Bell,(606) 337-2942,Cir. 44,Circuit Clerks,Farmer Helton Judicial Center,"101 W. Park Ave., P.O. Box 307","Pineville, KY 40977-0307"
102,Sparks,Debra,Debra Sparks,Wolfe,(606) 668-3736,Cir. 39,Circuit Clerks,Wolfe County Judicial Center,"133 Main Street, P. O. Box 296","Campton, KY 41301-0296"
103,Spears,Anna,Anna Spears,Pike,(606) 433-7560,Cir. 35,Circuit Clerks,Pike County Judicial Center,"175 Main St., P.O. Box 1002","Pikeville, KY 41502-1002"
104,Staton,Jake,Jake Staton,Clinton,(606) 387-6424,Cir. 40,Circuit Clerks,Clinton County Courthouse,"100 S. Cross St., Suite 212","Albany, KY 42602"
105,Tabor,Kim,Kim Barker Tabor,Rowan,(606) 783-8505,Cir. 21,Circuit Clerks,Rowan County Judicial Center,700 W. Main St.,"Morehead, KY 40351"
106,Tackett,Trish,Trish Tackett,Union,(270) 389-2264,Cir. 05,Circuit Clerks,Union County Courthouse Annex,"121 S. Morgan St., P.O. Box 59","Morganfield, KY 42437-0059"
107,Terry,Tanya,Tanya P. Terry,Montgomery,(859) 498-5966,Cir. 21,Circuit Clerks,Montgomery County Courthouse,"1 Court St., P.O. Box 327","Mount Sterling, KY 40353-0327"
108,Thompson,Diane,Diane Thompson,Nelson,(502) 348-3648,Cir. 10,Circuit Clerks,Nelson County Justice Center,200 Nelson County Plaza,"Bardstown, Kentucky 40004"
109,Thompson,Larry,Larry D. Thompson,Carter,(606) 474-5191,Cir. 37,Circuit Clerks,Carter County Justice Center,100 E. Main St.,"Grayson, KY 41143"
110,Tilton,Tabitha,Tabitha Tilton,Robertson,(606) 724-5993,Cir. 18,Circuit Clerks,Robertson County Judicial Center,"127 E. Walnut St., P.O. Box 63","Mt. Olivet, KY 41064-0063"
111,Tolle,Kirk,Kirk Tolle,Mason,(606) 564-4340,Cir. 19,Circuit Clerks,Mason County Justice Center,100 W. 3rd St.,"Maysville, KY 41056"
112,Trimble,Tammy,Tammy Trimble,Gallatin,(859) 567-5241,Cir. 54,Circuit Clerks,Gallatin County Courthouse,"100 Main St., P.O. Box 256","Warsaw, KY 41095-0256"
113,Turner,James,James E. Turner,Breathitt,(606) 666-5768,Cir. 39,Circuit Clerks,Breathitt County Justice Center,1131 Main St.,"Jackson, KY 41339"
114,Ward,Doris,Doris Kay Ward,Jackson,(606) 287-7783,Cir. 41,Circuit Clerks,Jackson County Judicial Center,"100 First St., P.O. Box 84","McKee, KY 40447-0084"
115,Ward,Tonya,Tonya Arnett Ward,Magoffin,(606) 349-2215,Cir. 36,Circuit Clerks,Magoffin County Justice Center,"100 E. Maple St., P.O. Box 147","Salyersville, KY 41465-0147"
116,Watkins,Sandye,Sandye Watkins,Nicholas,(859) 289-2336,Cir. 18,Circuit Clerks,Nicholas County Courthouse,"125 Main St., P.O. Box 109","Carlisle, KY 40311-0109"
117,Watts,Mike,Mike Watts,Letcher,(606) 633-7559,Cir. 47,Circuit Clerks,Letcher County Courthouse,"156 Main St., Suite 201","Whitesburg, KY 41858"
118,Yates,Cinda,Cinda Yates,Hickman,(270) 653-3901,Cir. 01,Circuit Clerks,Hickman County Courthouse Annex,109 S. Washington St.,"Clinton, KY 42031"
119,York,Eliza,Eliza Jane York,Rockcastle,(606) 256-2581,Cir. 28,Circuit Clerks,Rockcastle County Courthouse Annex,"205 E. Main St., Room 102","Mount Vernon, KY 40456"
